uid,name,tile,geometry,priorState,recommendation,reasons,auditFlags,kind,structureType,heightMetres,heightSource,areaM2,inputHash
landsd/195370:0,,-9_-8,footprint,unassessed,review,native-source-missing-or-ambiguous,,yes,Tower,2.6,landsd,38.9235,18320aab7a446591ba2d23404254855c4f0921b6075312580ebdfea5de3cec46
landsd/256839:0,,-9_-9,footprint,unassessed,review,native-mesh-complexity-needs-review,,yes,Tower,13.7,landsd,40.5069,21a5d8a095dd1501ab54f7a0daa2830b3606d19a5cd8eb29e068e30f96233706
landsd/268150:0,Marina Cove Block F5,4_-4,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,house,Tower,11.0,landsd,88.3321,4b1712e9de10590f7c9578703503c192221c2bdba4e817b482e81676146f2b4d
landsd/215002:0,,-10_-8,footprint,unassessed,review,native-envelope-differs,,yes,Tower,3.6,landsd,45.6807,63be7c96190382479d88c2ddee3329c3b08acd894a48160c329e2db96e750b89
landsd/201212:0,,-9_-8,footprint,unassessed,review,native-envelope-differs,,yes,Tower,4.9,landsd,41.0747,83345c846947688b33b190c664186f99738d376b215e9dc76507d238821ec822
way/1484689556:0,,5_-3,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,warehouse,,24,estimated,80.295,039cd438716dc17ced5493e1c2244cafcb892c2bc226abe6f0e0b0bc1e36ad69
landsd/157707:0,Garden Estate 'C' Substation,3_-2,footprint,unassessed,review,source-or-terrain-diagnostic,sampled-roof-partly-below-terrain;sampled-roof-wholly-below-terrain,yes,Tower,4.3,landsd,33.4219,c040e40ec9fd2d405d0bbc807a00f411c596bfde8cd791ea978085127d39911a
landsd/124450:0,,-6_-12,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,semidetached_house,Tower,9.2,landsd,56.6505,aabc947611d30d30468efdf9b60393c4a4abfa6bf02078c44a103ce8a83ed684
landsd/88863:0,,6_-1,footprint,unassessed,review,source-or-terrain-diagnostic,sampled-roof-partly-below-terrain;sampled-roof-wholly-below-terrain,yes,Tower,2.7,landsd,30.8079,a34f9a20fb0a69595773dedeef4d3cb8e897be6b09795425c08a5dc632e4bdd6
landsd/178397:0,,10_-10,footprint,unassessed,review,source-or-terrain-diagnostic,sampled-roof-partly-below-terrain;sampled-roof-wholly-below-terrain,yes,Tower,5.2,landsd,48.1148,76cc88bcb21522bb03b219352ffd4767519c45b2e24de602d26142101b83ab3d
landsd/181753:0,,-9_1,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,7.6045,60916c3b79432c2e1a99e391c786818fa694ebfef42faa5b9f7ca0bd21778309
landsd/194659:0,,-13_-5,footprint,unassessed,review,source-or-terrain-diagnostic,sampled-base-above-terrain,yes,Tower,30.6,landsd,514.4763,1f91d77cfd10b0bb08172f87e0532ea369e1d50dc2a7ec8445aea04042931836
landsd/86041:0,,-4_-14,footprint,unassessed,likely-skip,ordinary-surveyed-form-small-native-envelope-difference-low-complexity,,yes,Tower,4.6,landsd,29.3274,9754678ddcc1ed7abdfc90c18b3c25f0d465b34e6061acc99a5f6d5749616d63
landsd/261415:0,,-5_-13,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,84.0022,e778cd15ea3913fb394c8c853bec4fcb769fb50fa0618cf1fd88e1bf49a4df00
landsd/204958:0,BOULEVARD DE CASCADE,2_-10,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,house,Tower,9.7,landsd,47.249,b61206c8a313db9701b918949d38f88d0a5fee8b3548f3c6b81760e8721f04cc
landsd/58115:0,,2_-15,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,4.9,landsd,63.4728,e3cddb840d3cb554d74c9bbb54d4653c6a451dd54a2013d0c8c37c56846dabb7
landsd/184409:0,,3_-11,footprint,unassessed,likely-skip,ordinary-surveyed-form-small-native-envelope-difference-low-complexity,,yes,Tower,4.4,landsd,20.045,b99d1c579d5ddc9ac89d8a1c979cc76a3ae487e8c00b2a6ce9da56bfd59dcad4
landsd/158889:0,Police Sports and Recreation Club,0_-3,footprint,unassessed,review,large-or-tall-form;native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,17.9,landsd,4569.6994,99aa85374f224b1d8bd4008b54692c0001d08fed76ff82d0cef3d38b9c73ea3c
landsd/60854:0,Carmel Hill Block 11,2_3,footprint,unassessed,review,source-or-terrain-diagnostic;native-envelope-differs;native-mesh-complexity-needs-review,sampled-base-above-terrain,house,Tower,14.9,landsd,63.6191,d423679227e67ac91200771ec30ee43264241627b3ead1e49f37261994073e3f
