uid,objectId,buildingCSUID,name,nameZh,sectionId,sectionName,tile,centreX,centreZ,baseHeight,height,heightSource,governmentAvailable,sizeGroup,sizeLabel,triangles,modelId,sourceState,sourceHoldReason,compressedBytes,geometryBytes,installation,actionableState
landsd/108268:0,108268,2224819238T20060302,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12255.188175,-2778.209966,7.6,8.8,landsd,True,xxl,XXL,117411,B222481923801062G0,packed-needs-placement-review,,1221506,8406000,progressive,installed
landsd/108265:0,108265,2248919311T20060302,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12000.911219,-2813.658731,7.5,6.0,landsd,True,xl,XL,23346,B224891931101062G0,packed-needs-placement-review,,272047,1624032,progressive,installed
landsd/246471:0,246471,2198318757T20170725,Disney Explorers Lodge,迪士尼探索家度假酒店,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12508.866374,-2223.596949,6.3,24.4,landsd,True,xl,XL,15041,B219831875701063C1,packed-needs-placement-review,,173129,1040358,progressive,installed
landsd/296766:0,296766,2201419233T20240311,Frozen Ever After,魔雪奇幻之旅,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12486.134699,-2732.818082,7.5,15.9,landsd,True,xl,XL,11526,B220141923301063C0,packed-needs-placement-review,,183926,881604,progressive,installed
landsd/175420:0,175420,1975417366T20050430,,,10.5,Discovery Bay and Nim Shue Wan,-8_-1,-14720.918359,-883.464679,5.9,28.9,landsd,True,large,L,5032,B197541736601063C0,packed-needs-placement-review,,54399,360888,none,enhancement-required
landsd/78940:0,78940,1970017382T20050430,,,10.5,Discovery Bay and Nim Shue Wan,-8_-1,-14799.199537,-883.413015,5.9,28.2,landsd,True,large,L,2193,B197001738201063C0,packed-needs-placement-review,,23252,157734,none,enhancement-required
landsd/107386:0,107386,2244619303T20060302,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12053.868071,-2804.009288,7.6,6.0,landsd,True,large,L,7838,B224461930301062G0,packed-needs-placement-review,,89637,506244,progressive,installed
landsd/108263:0,108263,2255819281T20060302,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-6_-2,-11940.883393,-2782.210821,7.5,4.0,landsd,True,large,L,2602,B225581928101062G0,packed-needs-placement-review,,30539,173256,progressive,installed
landsd/108736:0,108736,1918918759T20050430,Graceful Mansion,閒澄閣,10.5,Discovery Bay and Nim Shue Wan,-8_-2,-15313.202796,-2259.909934,36.8,87.9,landsd,True,large,L,3050,B191891875901063C0,packed-needs-placement-review,,27443,217920,progressive,installed
landsd/108741:0,108741,1924818740T20050430,Joyful Mansion,安澄閣,10.5,Discovery Bay and Nim Shue Wan,-8_-2,-15253.433091,-2241.19414,35.9,83.9,landsd,True,large,L,2699,B192481874001063C0,packed-needs-placement-review,,25239,183954,progressive,installed
landsd/108805:0,108805,1929218755T20050430,Peaceful Mansion,逸澄閣,10.5,Discovery Bay and Nim Shue Wan,-8_-2,-15210.913388,-2256.525113,35.9,83.8,landsd,True,large,L,2129,B192921875501063C0,packed-needs-placement-review,,20619,141870,progressive,installed
landsd/176915:0,176915,1937118750T20051013,The Barion (Block 2),珀蘆,10.5,Discovery Bay and Nim Shue Wan,-8_-2,-15129.492816,-2249.999466,44.6,66.8,landsd,True,large,L,6344,B193711875001063C0,packed-needs-placement-review,,52523,407856,progressive,installed
landsd/178555:0,178555,1933318045T20050430,Discovery Bay International School,愉景灣國際學校,10.5,Discovery Bay and Nim Shue Wan,-8_-1,-15176.359084,-1558.23373,30.3,7.6,landsd,True,large,L,2041,B193331804501062G0,packed-needs-placement-review,,21133,129822,progressive,installed
landsd/246229:0,246229,1937118789T20051013,The Pavilion (Block 1),碧蘆,10.5,Discovery Bay and Nim Shue Wan,-8_-2,-15129.357999,-2290.885496,44.9,75.1,landsd,True,large,L,7056,B193711878901063C0,packed-needs-placement-review,,57279,445752,progressive,installed
landsd/72608:0,72608,2224218985T20151203,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12255.354926,-2482.760397,7.3,10.2,landsd,True,large,L,3104,B222421898501063C1,packed-needs-placement-review,,39839,217200,progressive,installed
landsd/76821:0,76821,2233018962T20130913,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12172.028474,-2476.609749,8.1,6.7,landsd,True,large,L,2980,B223301896201062G1,packed-needs-placement-review,,27299,163788,progressive,installed
landsd/107019:0,107019,1945317886T20050430,,,10.5,Discovery Bay and Nim Shue Wan,-8_-1,-15041.564599,-1381.205246,18.7,11.9,landsd,True,medium,M,500,B194531788601063C0,packed-needs-placement-review,,6668,32952,none,enhancement-required
landsd/107022:0,107022,1939517922T20050430,,,10.5,Discovery Bay and Nim Shue Wan,-8_-1,-15099.080905,-1416.461466,21.7,17.7,landsd,True,medium,M,504,B193951792201063C0,packed-needs-placement-review,,6477,32004,none,enhancement-required
landsd/107390:0,107390,2239319219T20060302,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12112.941982,-2720.792067,7.8,4.3,landsd,True,medium,M,582,B223931921901062G0,packed-needs-placement-review,,7533,40248,none,enhancement-required
landsd/107505:0,107505,2248819209T20050902,HONG KONG DISNEYLAND RESORT,香港迪士尼樂園度假區,10.5,Discovery Bay and Nim Shue Wan,-7_-2,-12003.816072,-2707.754111,7.2,7.9,landsd,True,medium,M,759,B224881920901062G0,packed-needs-placement-review,,10140,51138,none,enhancement-required
