model_id,uid,name,status,newly_installed,reasons,next_step
B350512064601063C0,landsd/160070:0,Hong Kong Baptist University School of Chinese Medicine - Lui Seng Chun,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B399652048902063C0,landsd/226033:0,TELFORD PLAZA I,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B082451282201063C0,landsd/241332:0,Tian Tan Buddha Statue,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B333592195001063C0,landsd/76364:0,Saxon Tower,held-unknown,False,ground-contact-unresolved; sampled-ground-gap-below-model-bottom,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B346911834502063C0,landsd/273061:0,Elements,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B344751569101063C0,landsd/89275:0,HSBC Main Building,installed,False,,
B375861567001063C0,landsd/227428:0,Hong Kong Central Library,installed,True,,
B338922087402063C0,landsd/262871:0,V Walk,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B420231563001063C0,landsd/109467:0,Lei Yue Mun Park Block 10,held-unknown,False,ground-contact-unresolved; sampled-ground-gap-below-model-bottom; sampled-terrain-above-model-bottom; terrain-intersects-source-over-0.5m,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B222481923801062G0,landsd/108268:0,HONG KONG DISNEYLAND RESORT,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B368441814902063C0,landsd/240841:0,FORTUNE METROPOLIS,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B324122068901063C0,landsd/128464:0,Stonecutters Island Sewage Treatment Works Sedimentation Tanks,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B171642641501063C0,,,held-unknown,False,no-unique-current-viewer-match,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B353741083402063C0,,,held-unknown,False,no-unique-current-viewer-match,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B361581209402063C0,landsd/136832:0,,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B291392437502063C0,landsd/228574:0,Maritime Square,held-unknown,False,sampled-terrain-above-model-bottom; terrain-intersects-source-over-0.5m,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B358222042102063C0,,,held-unknown,False,no-unique-current-viewer-match,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B386081319702063C0,landsd/254491:0,,held-unknown,False,strict-identity-fit,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B365561835502063C0,,,held-unknown,False,no-unique-current-viewer-match,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B350631826101063C0,,,held-unknown,False,no-unique-current-viewer-match,Resolve recorded source/terrain/support evidence in the grouped second pass; no AI or human decision dependency established
B344541627001063C0,landsd/244915:0,Two International Finance Centre,installed,False,,
B344391801602063C0,landsd/279530:0,M+,installed,False,,
