id,name,allForms,governmentAvailable,installed,enhancementRequired,noMatchedGovernmentSource,installedPercentOfAvailable
01,Central and Western · 中西區,7167,6217,932,5285,950,14.991153289367862
02,Wan Chai · 灣仔區,5483,4741,265,4476,742,5.58953807213668
03,Eastern · 東區,4612,3558,26,3532,1054,0.7307476110174256
04,Southern · 南區,10166,7008,11,6997,3158,0.1569634703196347
05,Yau Tsim Mong · 油尖旺區,7080,6312,95,6217,768,1.5050697084917617
06,Sham Shui Po · 深水埗區,5809,4731,20,4711,1078,0.4227436060029592
07,Kowloon City · 九龍城區,7840,6685,23,6662,1155,0.34405385190725507
08,Wong Tai Sin · 黃大仙區,2650,2128,0,2128,522,0.0
09,Kwun Tong · 觀塘區,4842,3865,78,3787,977,2.0181112548512288
10-airport,Chek Lap Kok airport and boundary-crossing facilities,703,438,2,436,265,0.45662100456621
10-islands,Non-Lantau Islands District islands,9487,7306,2,7304,2181,0.027374760470845878
11,Tsuen Wan · 荃灣區,9634,6530,29,6501,3104,0.444104134762634
12,Kwai Tsing · 葵青區,6658,4020,3,4017,2638,0.0746268656716418
13,Sha Tin · 沙田區,17014,11226,4,11222,5788,0.035631569570639586
14,Tai Po · 大埔區,32656,21624,1,21623,11032,0.004624491305956345
15,Sai Kung · 西貢區,24443,17719,42,17677,6724,0.23703369264631186
16,Tuen Mun · 屯門區,21303,13134,15,13119,8169,0.11420740063956143
17,Yuen Long · 元朗區,103248,53313,2,53311,49935,0.0037514302327762462
18,North · 北區,51283,23355,0,23355,27928,0.0
