id,name,allForms,governmentAvailable,installed,enhancementRequired,noMatchedGovernmentSource,installedPercentOfAvailable
01.1,"Central core: Statue Square, HSBC, Bank of China and surrounding streets",593,465,161,304,128,34.623655913978496
01.2,"Central waterfront: IFC, piers, harbourfront and Tamar / Admiralty",309,228,68,160,81,29.82456140350877
01.3,"SoHo, Lan Kwai Fong and the Mid-Levels escalator corridor",1560,1434,397,1037,126,27.684797768479775
01.4,"Sheung Wan, Tai Ping Shan and the western waterfront",916,838,263,575,78,31.38424821002387
01.5,Sai Ying Pun and Shek Tong Tsui,1431,1278,2,1276,153,0.1564945226917058
01.6,Kennedy Town and Mount Davis,1107,915,15,900,192,1.639344262295082
01.7,"Mid-Levels, the Peak and connecting hillside paths",1251,1059,26,1033,192,2.4551463644948064
02.1,Wan Chai old town and Queen’s Road East,1609,1446,220,1226,163,15.214384508990317
02.2,"Wan Chai North, HKCEC and Golden Bauhinia waterfront",151,105,34,71,46,32.38095238095238
02.3,Causeway Bay shopping district,806,739,6,733,67,0.8119079837618403
02.4,"Victoria Park, Tin Hau and Tai Hang",935,825,2,823,110,0.24242424242424243
02.5,"Happy Valley, racecourse and Jardine’s Lookout",1982,1626,3,1623,356,0.18450184501845018
03.1,Fortress Hill and North Point,1268,1102,2,1100,166,0.18148820326678766
03.2,Quarry Bay and Taikoo Place,572,464,5,459,108,1.0775862068965518
03.3,Taikoo Shing and Sai Wan Ho waterfront,182,112,7,105,70,6.25
03.4,Shau Kei Wan and Aldrich Bay,1385,1065,4,1061,320,0.3755868544600939
03.5,Chai Wan and Heng Fa Chuen,753,539,0,539,214,0.0
03.6,"Siu Sai Wan, Cape Collinson and eastern hills",452,276,8,268,176,2.898550724637681
04.1,"Pok Fu Lam, Wah Fu and Cyberport",1775,1194,2,1192,581,0.16750418760469013
04.2,Aberdeen and Tin Wan,528,444,0,444,84,0.0
04.3,Ap Lei Chau and South Horizons,1236,783,1,782,453,0.1277139208173691
04.4,"Wong Chuk Hang, Ocean Park and Deep Water Bay",1472,1047,5,1042,425,0.4775549188156638
04.5,Repulse Bay and Middle Bay,666,548,1,547,118,0.18248175182481752
04.6,"Stanley, Chung Hom Kok and Ma Hang",2569,1817,0,1817,752,0.0
04.7,"Tai Tam reservoirs, Red Hill and connecting hills",128,94,2,92,34,2.127659574468085
04.8,"Shek O, Big Wave Bay, Cape D’Aguilar and Dragon’s Back",1792,1081,0,1081,711,0.0
05.1,Tsim Sha Tsui waterfront and museum / ferry precinct,263,219,13,206,44,5.93607305936073
05.2,Tsim Sha Tsui East and Hung Hom Bay edge,984,873,15,858,111,1.718213058419244
05.3,"Jordan, King’s Park and Yau Ma Tei",2606,2284,1,2283,322,0.043782837127845885
05.4,"Mong Kok, Prince Edward and market streets",2596,2390,15,2375,206,0.6276150627615062
05.5,Tai Kok Tsui and Olympic,481,426,10,416,55,2.3474178403755865
05.6,"West Kowloon Cultural District, Kowloon Station and Austin",150,120,41,79,30,34.166666666666664
06.1,Sham Shui Po street markets and older blocks,1004,878,4,874,126,0.45558086560364464
06.2,Shek Kip Mei and Tai Hang Tung,1592,1414,1,1413,178,0.07072135785007072
06.3,Cheung Sha Wan industrial and residential areas,1337,1206,5,1201,131,0.41459369817578773
06.4,Lai Chi Kok and Mei Foo,886,511,7,504,375,1.36986301369863
06.5,"Nam Cheong, Stonecutters edge and western waterfront",642,419,1,418,223,0.23866348448687352
06.6,Beacon Hill / Eagle’s Nest foothills and reservoir approaches,348,303,2,301,45,0.6600660066006601
07.1,Hung Hom and Whampoa,491,427,17,410,64,3.9812646370023423
07.2,To Kwa Wan and Ma Tau Wai,1964,1820,2,1818,144,0.10989010989010989
07.3,Kowloon City old town and Walled City Park,2964,2401,2,2399,563,0.08329862557267806
07.4,Kai Tak residential area and Sports Park,420,340,1,339,80,0.29411764705882354
07.5,"Kai Tak runway, cruise terminal and waterfront",346,243,1,242,103,0.411522633744856
07.6,Ho Man Tin and Kowloon Tong,1655,1454,0,1454,201,0.0
08.1,Wong Tai Sin temple precinct and Chuk Yuen,317,247,0,247,70,0.0
08.2,Lok Fu and Wang Tau Hom,188,145,0,145,43,0.0
08.3,"Diamond Hill, Chi Lin Nunnery and Nan Lian Garden",791,619,0,619,172,0.0
08.4,San Po Kong and Choi Hung,497,445,0,445,52,0.0
08.5,Tsz Wan Shan and Ngau Chi Wan,729,573,0,573,156,0.0
08.6,"Lion Rock, Tate’s Cairn and northern hillside connections",128,99,0,99,29,0.0
09.1,Kowloon Bay and former industrial blocks,383,313,4,309,70,1.2779552715654952
09.2,Ngau Tau Kok and Ngau Tau Kok Road corridor,769,648,67,581,121,10.339506172839506
09.3,Kwun Tong town centre and waterfront,691,612,5,607,79,0.8169934640522877
09.4,"Sau Mau Ping, Shun Lee and Anderson Road edge",995,828,1,827,167,0.12077294685990338
09.5,Lam Tin and Yau Tong,344,268,0,268,76,0.0
09.6,"Lei Yue Mun, Cha Kwo Ling and Devil’s Peak",1660,1196,1,1195,464,0.08361204013377926
10.3,"Chek Lap Kok airport: terminals, aprons and runways",481,296,2,294,185,0.6756756756756757
10.4,"Airport east / north: AsiaWorld-Expo, logistics, reclamation and Hong Kong boundary-crossing facilities",222,142,0,142,80,0.0
10.12,Peng Chau and Hei Ling Chau,2120,1590,1,1589,530,0.06289308176100629
10.13,Cheung Chau,3990,3420,0,3420,570,0.0
10.14,Lamma north: Yung Shue Wan and power station coast,2472,1735,0,1735,737,0.0
10.15,Lamma south: Sok Kwu Wan and southern trails,638,405,0,405,233,0.0
10.16,"Po Toi island group, Soko Islands and remaining offshore islets",267,156,1,155,111,0.641025641025641
11.1,Tsuen Wan town centre and Tsuen Wan West,1718,1535,16,1519,183,1.0423452768729642
11.2,"Tsuen King Circuit, Tsuen Wan hinterland and Shing Mun approaches",4197,2750,2,2748,1447,0.07272727272727272
11.3,"Ting Kau, Sham Tseng and Tsing Lung Tau coast",1791,1167,11,1156,624,0.9425878320479864
11.4,"Chuen Lung, Tai Mo Shan and western mountain slopes",1205,452,0,452,753,0.0
11.5,Ma Wan and the Tsing Ma / Kap Shui Mun bridge approaches,723,626,0,626,97,0.0
12.1,"Kwai Chung north, Kwai Hing and Kwai Fong",2513,1622,0,1622,891,0.0
12.2,"Lai King, Cho Yiu and hillside estates",1203,734,0,734,469,0.0
12.3,Kwai Chung container terminals and cargo waterfront,205,73,0,73,132,0.0
12.4,"Tsing Yi town, Maritime Square and eastern waterfront",380,268,1,267,112,0.3731343283582089
12.5,"Tsing Yi western industry, oil depots and southern shore",1996,1210,2,1208,786,0.1652892561983471
12.6,"Tsing Yi hills, Stonecutters Bridge and Lantau Link approaches",361,113,0,113,248,0.0
13.1,Tai Wai and Che Kung Temple corridor,3257,2513,3,2510,744,0.11937922801432552
13.2,Sha Tin town centre and Shing Mun River,4672,2895,0,2895,1777,0.0
13.3,Fo Tan and racecourse,2961,1861,1,1860,1100,0.05373455131649651
13.4,"Shek Mun, City One and Siu Lek Yuen",2196,1469,0,1469,727,0.0
13.5,"Ma On Shan, Wu Kai Sha and Whitehead",1613,990,0,990,623,0.0
13.6,"Ma Liu Shui, Chinese University and Pak Shek Kok edge",1837,1313,0,1313,524,0.0
13.7,"Surrounding hills, villages and reservoir / trail connections",478,185,0,185,293,0.0
14.1,Tai Po Market and Tai Wo,7653,5169,0,5169,2484,0.0
14.2,"Tai Po new town, waterfront and InnoPark",4534,3263,0,3263,1271,0.0
14.3,Pak Shek Kok and Science Park,755,604,0,604,151,0.0
14.4,"Lam Tsuen, Tai Po Kau and rural western valleys",12909,7566,0,7566,5343,0.0
14.5,"Ting Kok, Tai Mei Tuk and Plover Cove",2858,2065,1,2064,793,0.048426150121065374
14.6,"Pat Sin Leng, Shuen Wan and Ma Shi Chau",2533,2015,0,2015,518,0.0
14.7,"Sai Kung North: Pak Tam Au, Hoi Ha, Wong Shek and adjacent villages",862,578,0,578,284,0.0
14.8,"Tap Mun, Tung Ping Chau and north-eastern offshore islands",552,364,0,364,188,0.0
15.1,"Tseung Kwan O town centre, Tiu Keng Leng and waterfront",1940,1540,13,1527,400,0.8441558441558441
15.2,"Po Lam, Hang Hau and Tseng Lan Shue",9030,6356,2,6354,2674,0.031466331025802395
15.3,"LOHAS Park, Tseung Kwan O InnoPark and Junk Bay east",619,388,27,361,231,6.958762886597938
15.4,Sai Kung town and Pak Sha Wan / Hebe Haven,8587,6363,0,6363,2224,0.0
15.5,"Clear Water Bay, Tai Au Mun and Lung Ha Wan",1296,1024,0,1024,272,0.0
15.6,"Pak Tam Chung, High Island Reservoir and eastern country park",1532,1085,0,1085,447,0.0
15.7,"Tai Long Wan, Sai Wan, Ham Tin and Long Ke",215,146,0,146,69,0.0
15.8,"Sharp Island, Kau Sai Chau, Yim Tin Tsai and Port Shelter islands",1040,753,0,753,287,0.0
15.9,"Tung Lung Chau, Ninepin, Ung Kong and outer eastern islands",184,64,0,64,120,0.0
16.1,Tuen Mun town centre and river corridor,3691,2537,14,2523,1154,0.5518328734726055
16.2,"Siu Hong, Fu Tei and northern estates",10584,6137,1,6136,4447,0.016294606485253382
16.3,"Butterfly Bay, ferry pier and western residential shore",840,516,0,516,324,0.0
