lon,x_m_from_west,skyline_elevation_m
113.82505853,0.000,0.000
113.82523030,17.697,0.000
113.82540208,35.395,0.000
113.82557385,53.092,0.000
113.82574562,70.789,0.000
113.82591740,88.487,0.000
113.82608917,106.184,0.000
113.82626094,123.882,0.000
113.82643272,141.579,0.000
113.82660449,159.276,0.000
113.82677626,176.974,0.000
113.82694804,194.671,0.000
113.82711981,212.368,0.000
113.82729158,230.066,0.000
113.82746336,247.763,0.000
113.82763513,265.460,0.000
113.82780690,283.158,0.000
113.82797867,300.855,0.000
113.82815045,318.553,0.000
113.82832222,336.250,0.000
113.82849399,353.947,0.000
113.82866577,371.645,0.000
113.82883754,389.342,0.000
113.82900931,407.039,0.000
113.82918109,424.737,0.000
113.82935286,442.434,0.000
113.82952463,460.131,0.000
113.82969641,477.829,0.000
113.82986818,495.526,0.000
113.83003995,513.224,0.000
113.83021173,530.921,0.000
113.83038350,548.618,0.000
113.83055527,566.316,0.000
113.83072705,584.013,0.000
113.83089882,601.710,0.000
113.83107059,619.408,0.000
113.83124237,637.105,0.000
113.83141414,654.802,0.000
113.83158591,672.500,0.000
113.83175769,690.197,0.000
113.83192946,707.895,0.000
113.83210123,725.592,0.000
113.83227300,743.289,0.000
113.83244478,760.987,0.000
113.83261655,778.684,0.000
113.83278832,796.381,0.000
113.83296010,814.079,0.000
113.83313187,831.776,0.000
113.83330364,849.473,0.000
113.83347542,867.171,0.000
113.83364719,884.868,0.000
113.83381896,902.565,0.000
113.83399074,920.263,0.000
113.83416251,937.960,0.000
113.83433428,955.658,0.000
113.83450606,973.355,0.000
113.83467783,991.052,0.000
113.83484960,1008.750,0.000
113.83502138,1026.447,0.000
113.83519315,1044.144,0.000
113.83536492,1061.842,0.001
113.83553670,1079.539,0.002
113.83570847,1097.236,0.004
113.83588024,1114.934,0.008
113.83605202,1132.631,0.016
113.83622379,1150.329,0.031
113.83639556,1168.026,0.057
113.83656734,1185.723,0.099
113.83673911,1203.421,0.162
113.83691088,1221.118,0.252
113.83708265,1238.815,0.374
113.83725443,1256.513,0.537
113.83742620,1274.210,0.751
113.83759797,1291.907,1.029
113.83776975,1309.605,1.381
113.83794152,1327.302,1.815
113.83811329,1345.000,2.342
113.83828507,1362.697,2.969
113.83845684,1380.394,3.703
113.83862861,1398.092,4.553
113.83880039,1415.789,5.526
113.83897216,1433.486,6.629
113.83914393,1451.184,7.868
113.83931571,1468.881,9.247
113.83948748,1486.578,10.770
113.83965925,1504.276,12.436
113.83983103,1521.973,14.248
113.84000280,1539.671,16.202
113.84017457,1557.368,18.296
113.84034635,1575.065,20.525
113.84051812,1592.763,22.883
113.84068989,1610.460,25.361
113.84086167,1628.157,27.948
113.84103344,1645.855,30.634
113.84120521,1663.552,33.406
113.84137698,1681.249,36.256
113.84154876,1698.947,39.175
113.84172053,1716.644,42.156
113.84189230,1734.342,45.198
113.84206408,1752.039,48.299
113.84223585,1769.736,51.459
113.84240762,1787.434,54.681
113.84257940,1805.131,57.968
113.84275117,1822.828,61.323
113.84292294,1840.526,64.748
113.84309472,1858.223,68.248
113.84326649,1875.920,71.824
113.84343826,1893.618,75.482
113.84361004,1911.315,79.226
113.84378181,1929.013,83.058
113.84395358,1946.710,86.985
113.84412536,1964.407,91.010
113.84429713,1982.105,95.138
113.84446890,1999.802,99.372
113.84464068,2017.499,103.717
113.84481245,2035.197,108.175
113.84498422,2052.894,112.750
113.84515600,2070.591,117.443
113.84532777,2088.289,122.254
113.84549954,2105.986,127.186
113.84567132,2123.684,132.238
113.84584309,2141.381,137.409
113.84601486,2159.078,142.697
113.84618663,2176.776,148.099
113.84635841,2194.473,153.613
113.84653018,2212.170,159.235
113.84670195,2229.868,164.962
113.84687373,2247.565,170.790
113.84704550,2265.262,176.713
113.84721727,2282.960,182.728
113.84738905,2300.657,188.828
113.84756082,2318.354,195.008
113.84773259,2336.052,201.262
113.84790437,2353.749,207.582
113.84807614,2371.447,213.962
113.84824791,2389.144,220.394
113.84841969,2406.841,226.871
113.84859146,2424.539,233.385
113.84876323,2442.236,239.925
113.84893501,2459.933,246.483
113.84910678,2477.631,253.050
113.84927855,2495.328,259.615
113.84945033,2513.025,266.165
113.84962210,2530.723,272.690
113.84979387,2548.420,279.176
113.84996565,2566.118,285.612
113.85013742,2583.815,291.986
113.85030919,2601.512,298.283
113.85048096,2619.210,304.490
113.85065274,2636.907,310.589
113.85082451,2654.604,316.569
113.85099628,2672.302,322.415
113.85116806,2689.999,328.116
113.85133983,2707.696,333.660
113.85151160,2725.394,339.035
113.85168338,2743.091,344.231
113.85185515,2760.789,349.237
113.85202692,2778.486,354.045
113.85219870,2796.183,358.646
113.85237047,2813.881,363.034
113.85254224,2831.578,367.204
113.85271402,2849.275,371.151
113.85288579,2866.973,374.873
113.85305756,2884.670,378.369
113.85322934,2902.367,381.638
113.85340111,2920.065,384.684
113.85357288,2937.762,387.512
113.85374466,2955.460,390.126
113.85391643,2973.157,392.537
113.85408820,2990.854,394.755
113.85425998,3008.552,396.791
113.85443175,3026.249,398.658
113.85460352,3043.946,400.366
113.85477530,3061.644,401.925
113.85494707,3079.341,403.341
113.85511884,3097.038,404.621
113.85529061,3114.736,405.769
113.85546239,3132.433,406.788
113.85563416,3150.131,407.682
113.85580593,3167.828,408.453
113.85597771,3185.525,409.105
113.85614948,3203.223,409.641
113.85632125,3220.920,410.063
113.85649303,3238.617,410.374
113.85666480,3256.315,410.577
113.85683657,3274.012,410.674
113.85700835,3291.709,410.668
113.85718012,3309.407,410.560
113.85735189,3327.104,410.353
113.85752367,3344.802,410.051
113.85769544,3362.499,409.658
113.85786721,3380.196,409.177
113.85803899,3397.894,408.614
113.85821076,3415.591,407.975
113.85838253,3433.288,407.268
113.85855431,3450.986,406.500
113.85872608,3468.683,405.678
113.85889785,3486.380,404.812
113.85906963,3504.078,403.910
113.85924140,3521.775,402.983
113.85941317,3539.473,402.042
113.85958495,3557.170,401.097
113.85975672,3574.867,400.160
113.85992849,3592.565,399.240
113.86010026,3610.262,398.348
113.86027204,3627.959,397.494
113.86044381,3645.657,396.688
113.86061558,3663.354,395.940
113.86078736,3681.051,395.260
113.86095913,3698.749,394.659
113.86113090,3716.446,394.147
113.86130268,3734.143,393.732
113.86147445,3751.841,393.423
113.86164622,3769.538,393.228
113.86181800,3787.236,393.154
113.86198977,3804.933,393.207
113.86216154,3822.630,393.391
113.86233332,3840.328,393.709
113.86250509,3858.025,394.163
113.86267686,3875.722,394.754
113.86284864,3893.420,395.480
113.86302041,3911.117,396.341
113.86319218,3928.814,397.331
113.86336396,3946.512,398.448
113.86353573,3964.209,399.685
113.86370750,3981.907,401.035
113.86387928,3999.604,402.490
113.86405105,4017.301,404.041
113.86422282,4034.999,405.679
113.86439459,4052.696,407.392
113.86456637,4070.393,409.171
113.86473814,4088.091,411.002
113.86490991,4105.788,412.873
113.86508169,4123.485,414.770
113.86525346,4141.183,416.679
113.86542523,4158.880,418.588
113.86559701,4176.578,420.485
113.86576878,4194.275,422.359
113.86594055,4211.972,424.202
113.86611233,4229.670,426.004
113.86628410,4247.367,427.758
113.86645587,4265.064,429.456
113.86662765,4282.762,431.091
113.86679942,4300.459,432.655
113.86697119,4318.156,434.140
113.86714297,4335.854,435.540
113.86731474,4353.551,436.844
113.86748651,4371.249,438.043
113.86765829,4388.946,439.130
113.86783006,4406.643,440.096
113.86800183,4424.341,440.933
113.86817361,4442.038,441.632
113.86834538,4459.735,442.188
113.86851715,4477.433,442.592
113.86868893,4495.130,442.838
113.86886070,4512.827,442.924
113.86903247,4530.525,442.847
113.86920424,4548.222,442.606
113.86937602,4565.920,442.204
113.86954779,4583.617,441.640
113.86971956,4601.314,440.918
113.86989134,4619.012,440.041
113.87006311,4636.709,439.013
113.87023488,4654.406,437.842
113.87040666,4672.104,436.535
113.87057843,4689.801,435.101
113.87075020,4707.498,433.548
113.87092198,4725.196,431.887
113.87109375,4742.893,430.127
113.87126552,4760.591,428.281
113.87143730,4778.288,426.359
113.87160907,4795.985,424.374
113.87178084,4813.683,422.340
113.87195262,4831.380,420.270
113.87212439,4849.077,418.180
113.87229616,4866.775,416.082
113.87246794,4884.472,413.992
113.87263971,4902.169,411.922
113.87281148,4919.867,409.887
113.87298326,4937.564,407.899
113.87315503,4955.262,405.973
113.87332680,4972.959,404.119
