sectionId	title	zh	ref	description
01.1	Statue Square	皇后像廣場	name:Statue Square	Central's civic square and the adjoining banking streets.
01.2	Tamar & Central waterfront	添馬與中環海濱	way/138602057	Harbourfront paths between Admiralty, Tamar and the Central piers.
01.3	SoHo & Shelley Street	蘇豪與些利街	way/817778707	The stepped street grid around the Mid-Levels escalator corridor.
01.4	Sheung Wan & Hollywood Road	上環與荷李活道	way/148228845	Older streets, small parks and the Tai Ping Shan neighbourhood.
01.5	Sai Ying Pun	西營盤	way/26201750	Hillside blocks around King George V Memorial Park.
01.6	Kennedy Town waterfront	堅尼地城海濱	way/761609177	Belcher Bay's promenade and the western end of the island city.
01.7	Lugard Road & the Peak	盧吉道與山頂	way/300497950	A mapped pedestrian route above Central's hillside neighbourhoods.
02.1	Wan Chai old town	灣仔舊城	way/184798477	Queen's Road East streets and the public paths beside Wan Chai Park.
02.2	Golden Bauhinia waterfront	金紫荊海濱	name:Golden Bauhinia Square	The exhibition-centre waterfront and Golden Bauhinia Square.
02.3	Causeway Bay streets	銅鑼灣街道	way/26469055	Pak Sha Road and the shopping streets behind the tram corridor.
02.4	Victoria Park & Tin Hau	維多利亞公園與天后	way/4182605	The park's courts and paths between Causeway Bay and Tin Hau.
02.5	Happy Valley	跑馬地	way/1056788258	Wong Nai Chung Road beside the racecourse and hillside residential streets.
03.1	North Point waterfront	北角海濱	way/715705487	The North Point promenade and adjoining older residential blocks.
03.2	Quarry Bay & Taikoo Place	鰂魚涌與太古坊	way/1187351984	Quarryside and the public street network around Taikoo Place.
03.3	Sai Wan Ho waterfront	西灣河海濱	way/451087473	Harbour Park and the waterfront beside Taikoo Shing and Lei King Wan.
03.4	Shau Kei Wan & Aldrich Bay	筲箕灣與愛秩序灣	way/86463847	Aldrich Bay Park and the older streets around Shau Kei Wan.
03.5	Chai Wan neighbourhoods	柴灣社區	way/916926428	Wan Tsui's park paths and the surrounding eastern-island estates.
03.6	Siu Sai Wan promenade	小西灣海濱	way/961605650	The eastern waterfront below Cape Collinson's hills.
